Department,Major,Degree,School,Course Title,Course Description,Cost
Fire/Rescue Services,Nursing,Masters (MA/MS/MPH/etc.),GEORGE WASHINGTON UNIVERSITY,NURSING 6180,"This course is designed to bridge non-BSN degree RNs to the Master of Science in Nursing (MSN). The content areas include nursing role development, nursing theory, ethics, community health nursing and nursing research.",1830
Correction & Rehabilitation,Criminal Justice,Bachelors (BA/BS),American Public University System,COLL100 FOUNDATIONS OF ONLINE LEARNING,"This course is designed to provide a solid foundation for undergraduate study in the online environment. Students will be introduced to learning theory, the tools available in the online classroom and campus, and online research. Identification of persona",750
Correction & Rehabilitation,Criminal Justice,Bachelors (BA/BS),American Public University System,ENG 101 PROFICIENCY IN WRITING,"This course provides instruction in the writing process with a focus on self-expressive and expository essays, and will include practice in the conventions of standard written English, responding to readings, and incorporating sources into essays with app",750
Libraries,Linguistics,Certificate,FREDERICK COMMUNITY COLLEGE,AMERICAN SIGN LANGUAGE III - ASLS L202 #2051,"A continuation of American Sign Language II. Emphasizes ASL grammar, vocabulary development and the deaf culture. Expands dialogue, short stories, narratives, short conversations and both receptive and expressive skills. Emphasizes signing techniques as w",327
Health & Human Services,Accounting (Business),Masters (MA/MS/MPH/etc.),University of Maryland - University College,ACCOUNTING I,"An introduction to the basic theory and techniques of contemporary financial accounting. The objective is to identify the fundamental principles of accounting, identify and analyze business transactions, prepare financial statements, and communicate this",753
Health & Human Services,Accounting (Business),Masters (MA/MS/MPH/etc.),University of Maryland - University College,ACCOUNTING II,"Further study of contemporary accounting practices, with an emphasis on financial and managerial accounting. The goal is to identify and analyze business transactions, define the characteristics of business entities, identify the interdependency of financial statements, employ managerial accounting techniques, and communicate this information to users with different needs. Financial accounting topics include liabilities, equities, investments, and business entities. Managerial accounting topics include job order and process costing, cost-volume-profit analysis, and budgets.",753
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),Arizona State University,CRJ501 SEMINAR IN CRIMINAL JUSTICE,"Overview of the American criminal justice system, with emphasis on policy issues in police, courts, sentencing, corrections.",1496
Health & Human Services,Health & Human Services,Bachelors (BA/BS),MONTGOMERY COMMUNITY COLLEGE,WOMEN'S STUDIES,This studying of learning characteristic of women,345
Transportation,None,Non-Degree,MONTGOMERY COUNTY COLLEGE,PRINCIPLES OF MAP DESIGN,Studio/laboratory experience with the application and utilization of modern tools and techniques of cartography and graphics. Develops special skills associated with the broad scope of cartographic activities as practiced in public and private mapping and,336
Fire/Rescue Services,Accounting (Business),AA,Harrisburg Area Community College - Harrisburg,FINANCE FOR BUSINESS,Management of funds; interpreting financial statements; sources of credit; long-term capital structure; capital budgeting; investment decisions; financial institutions.,615
Fire/Rescue Services,Accounting (Business),AA,Harrisburg Area Community College - Harrisburg,ACCOUNTING,"Introduction to generally accepted accounting principles as they pertain to external financial reports. The accounting cycle, accounting systems, theories and policies relative to asset valuation, liability measurement, and income determination are presen",780
Fire/Rescue Services,Nursing,AA,MONTGOMERY COUNTY COLLEGE,NURSING IN HEALTH ILLNESS,"Introduces common alterations in physiologic processes that affect basic human needs. Related nursing care, developmental and pharmacologic principles, and advanced psychomotor skills are taught.",448
Fire/Rescue Services,Nursing,AA,MONTGOMERY COUNTY COLLEGE,NURSING IN MENTAL HEALTH,"First of two related courses (with MH 102). An introduction for beginning mental health students in their training toward becoming responsible, aware agents-for-change in their communities. MH 101 covers history, concepts, roles, and institutions of the m",448
Fire/Rescue Services,Nursing,AA,MONTGOMERY COUNTY COLLEGE,MICROBIOLOGY 203,"Provides an overview of microorganisms, emphasizing bacteria and including the structure, metabolic activities, genetics, and mechanisms of control of microorganisms, as well as the relationships of microorganisms to humans, the environment, disease, and",448
Police,Not Listed,Ph.D. (DDE),Wilmington University,EDD 7106 DISCIPLINED INQUIRY I,The purpose of this introductory two-course sequence is to further students' understandings of types of data available to leaders and skills needed to read and interpret that data in multiple ways in order to be an effective leader. The course will help s,89
Police,Not Listed,Ph.D. (DDE),Wilmington University,EDD 7000 EXPERIENTAL LEARNING: LEADERSHIP ISSUES,"This course is experiential in nature and focuses on leadership and group process. Students will acquire and apply knowledge, skills, and feelings in an immediate and relevant setting. Topics include: examining core values in the leadership process, group",1641
Correction & Rehabilitation,Criminal Justice,Bachelors (BA/BS),Shippensburg University of Pennsylvania,SURVEY OF CORRECTIONS,"Analyzes the development of correctional practices in the handling of criminals from early to modern times. Students analyze contemporary correctional organizational structures and treatment process, as well as institutional and community-based programs,",1830
Correction & Rehabilitation,Sociology,AA,FREDERICK COMMUNITY COLLEGE,ALGEBRA,"Develops introductory algebra skills. Topics include variables and algebraic expressions, order of operations, graphing and solving linear equations, like terms, the distributive law, applications of linear equations, systems of linear equations, polynomi",363.34
Correction & Rehabilitation,Sociology,AA,FREDERICK COMMUNITY COLLEGE,HUMAN RELATIONS,"Introduces students to the fundamentals of interpersonal communication and examines such communication in the context of culture, ethnicity, gender, age, and race in particular. As an experiential course, it seeks to increase the skills and sensitivity ne",363.33
Correction & Rehabilitation,Sociology,AA,FREDERICK COMMUNITY COLLEGE,SOCIOLOGY 101,"Introduces the student to the study of society and the impact of society upon the individual. Exemplifies social processes in cultural patterns and institutions. Examines group values at various levels of human relationship.
",363.33
General Services,Computer Systems Management,AA,Montgomery College Rockville Campus,COMPUTER USE AND MANAGEMENT,"An introduction to computers, operating systems, and Internet basics. Topics include file and hard drive management, customizing the Windows environment, transferring data between applications, installing and running hardware and software, utilizing e-mail, and effectively finding, using, and downloading information, software, and research materials from the Internet.",336
General Services,Computer Systems Management,AA,Montgomery College Rockville Campus,INTRODUCTION TO COMPUTER APPLICATIONS,Introduces computer concepts and techniques applicable to various disciplines. This course covers the most widely used software packages while providing students hands-on experience with current computer applications.,336
Transportation,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),STRAYER UNIVERSITY,FINANCIAL MANAGEMENT,Introduces the concepts of finance. Reviews the basic tools and their use for making financial decisions. Explains how to measure and compare risks across investment opportunities. Analyzes how the firm chooses the set of securities it will issue to raise,1830
